letter	name_of_the_letter	word1	word2	word3
ا	ا آ	ا ؤو	گا	پازی
ا	ا گُنا	اڅِنِ	فاڄا	ہنگار
ب	بوبائی	با گُی	کتاب	کباب
پ	پازی	پل	سپ	څپاٹآ
ت	تارہ	تا گُوسہ	بتَ	ستا سُی
ج	ٹېکورہ	ٹېکوری	وُٹَ ݫ	کٹاری
ث	رمث	ربوت	حدیث	ارث
ج	تمایت	تنگاروک	تاج	حاتی
چ	چدور	چاکوَ	کاچ	انچېِی
ح	حووہ	حکیم	صوح	حتاج
خ	وارو	وال	وخ	څخت
ڄ	ڄاکَآ	ڄنَڄاَہ	ا ڄُِ	ہنڄا
ݮ	ڠنڠا	اهڠہ	ڠ ن هاما	نا نڠاوہ
څ	څوکَآ	څاَری	پڅ	څوٹآ
ح	ح لِ	ح ا گُل	ور نح	ا حُ ن
د	دوروٹی	در	کند	کندکِ
ذ	ذویثہ	ذبح	کاغذ	ذ وم
ر	ریا رُہ	روغوری	گاورُ	ٹورُنل
ر	رزہ	روڅ	ور	بېرانت
ز	زېنت	زوذاد	لز	کزالآ
ژ	اژدژار	ژگُِثہ	چژ	بژِکِاوہ
ݫ	ݫُ اُگ ݫ	ڑَہݫ یݫ	ݫُݫ	اس ݫ ب
س	کااک	کا	لاسو
س	سېوں	ساگآ	گا سُ	اُسی
ش	لال	شېڑہ	رش	الکور
ݭ	اوُگُ	اگلی	ݭ تنھو	آ ݭ فو
ص	صندوق	صابن	واص	قصاب
ض	فییض	فثر	غثض	قافی
ط	ببیط	بوق	لثط	طوط
ظ	مالم	موم	حافظ	ظووم
ع	عبادت	علاقآ	ابلاع	لاعث
غ	غا ٹُول	غوزہ	باغ	توغوزہ
ف	فاکورہ	فیِالآ	کندنف	لفوآ
ق	قوم	قلېن	حق	عقل
ک	کثاؤ	ٹی ݭ کا	ک څ	ٹآ ݭ اک
گ	گا	گج	دگ	لگِالآ
ل	لاک	لاٹی	کندول	ئ کلِا
ݪ	ݫ ہلکَ	ہنگگلکِ	ݪ تن	ېنگ ݪ و
م	څوٹآ	ݭ ا نُو	گوم	کنما رُ
ن	اُس	اُاکو	سنِان	ا زُن
ݨ	کی ݨ ک	ݨ لاو	آ ݨ چ
ں	ہنکۡآ	کیاں	بوکُآ
و	واج	واڅېو	و ݫ	کؤٹآ
ہ	آ ݭ ہارې	ہابولک	لوہآ	اہل
ء	چئ	پتئ	پئتی
ی	یک	یار	کھنٹی	دیث
ېے	رېوه	پوٹے	یېل	کھ
تھ	تھورہ	تنھوآ	انتھوآ
پھ	پھپوڅ	پھپوستاؤ	پھپھڅک
ٹھ	ٹھوکآ	ٹھوک
چھ	چھِث	چھتاوہ	اچھی
څھ	څھاریٹآ	څھوپآ	اڅھکآ
ڄھ	ڄھَث	ڄنھث	ووڄھال
کھ	کھمٹآ	کھاٹک	انکھا
